-0.647433 0.751529 130.621 0.348943 0.189757
-0.520918 0.8439 121.594 0.476101 0.212945
-0.381368 0.915081 112.558 0.616384 0.230873
-0.232441 0.963286 103.525 0.766135 0.243067
-0.0779697 0.987725 94.4996 0.921548 0.249229
-0.640115 0.731193 130.068 0.356306 0.191321
-0.515975 0.822132 121.264 0.481012 0.213695
-0.377959 0.892008 112.347 0.619778 0.231224
-0.230228 0.939076 103.395 0.768336 0.243199
-0.0771462 0.96326 94.4518 0.922379 0.249246
-0.619843 0.698228 128.525 0.377139 0.195583
-0.501154 0.782988 120.256 0.496138 0.215946
-0.367427 0.848425 111.684 0.630511 0.232309
-0.223679 0.892375 103.003 0.775003 0.24359
-0.0746648 0.915213 94.3073 0.924894 0.249294
-0.592363 0.654158 126.494 0.405258 0.200979
-0.48143 0.727519 118.931 0.516249 0.218801
-0.354204 0.784653 110.86 0.643909 0.233613
-0.215098 0.82385 102.494 0.783663 0.24408
-0.0713815 0.844934 94.1166 0.928214 0.249355
-0.563536 0.60567 124.402 0.435004 0.206272
-0.465497 0.656421 117.866 0.532596 0.22101
-0.344817 0.702124 110.273 0.653511 0.234513
-0.20958 0.73572 102.165 0.789268 0.244386
-0.0690332 0.753564 93.9801 0.93059 0.249397
-0.0695087 0.643686 94.0079 0.930107 0.249389
-0.0718646 0.516787 94.1447 0.927725 0.249346
-0.074951 0.378192 94.3239 0.924605 0.249288
-0.0770708 0.230397 94.4473 0.922458 0.249247
-0.0776925 0.0771971 94.4833 0.921832 0.249235
-0.209372 0.628881 102.154 0.789466 0.244396
-0.215118 0.504932 102.494 0.783664 0.244079
-0.224455 0.368958 103.048 0.774232 0.243545
-0.230066 0.224148 103.383 0.76854 0.243211
-0.232107 0.0749831 103.503 0.766506 0.243089
-0.344727 0.600475 110.27 0.653551 0.234517
-0.355061 0.482996 110.912 0.643067 0.233532
-0.368421 0.353122 111.743 0.629552 0.232213
-0.377501 0.214655 112.312 0.62035 0.231282
-0.380721 0.0716834 112.513 0.617113 0.230949
-0.46612 0.566002 117.907 0.531965 0.220926
